Number of Breaches,Total Gas Traditional,Total Gas Hybrid,Total Penalty Traditional,Total Penalty Hybrid
1,42423,49357,100000000000000000,0
2,69846,83817,300000000000000000,0
3,97269,118277,600000000000000000,0
4,124692,152737,1000000000000000000,0
5,152115,187197,1500000000000000000,0
6,179538,221657,2100000000000000000,0
7,206961,256117,2800000000000000000,0
8,234384,290577,3600000000000000000,0
9,261807,325037,4500000000000000000,0
10,289230,378697,5500000000000000000,1
11,316653,417357,6600000000000000000,2
12,344076,456017,7800000000000000000,3
13,371499,494677,9100000000000000000,4
14,398922,533337,10500000000000000000,6
15,426345,571997,12000000000000000000,8
16,453768,610657,13600000000000000000,10
17,481191,649317,15300000000000000000,12
18,508614,687977,17100000000000000000,15
19,536037,726637,19000000000000000000,18
20,563460,765297,21000000000000000000,21
21,590883,803957,23100000000000000000,25
22,618306,842617,25300000000000000000,29
23,645729,881277,27600000000000000000,34
24,673152,919937,30000000000000000000,39
25,700575,958597,32500000000000000000,44
26,727998,997257,35100000000000000000,50
27,755421,1035917,37800000000000000000,56
28,782844,1074577,40600000000000000000,63
29,810267,1113237,43500000000000000000,70
30,837690,1151897,46500000000000000000,78
31,865113,1190557,49600000000000000000,86
32,892536,1229217,52800000000000000000,95
33,919959,1267877,56100000000000000000,104
34,947382,1306537,59500000000000000000,114
35,974805,1345197,63000000000000000000,124
36,1002228,1383857,66600000000000000000,135
37,1029651,1422517,70300000000000000000,146
38,1057074,1461177,74100000000000000000,158
39,1084497,1499837,78000000000000000000,170
40,1111920,1538497,82000000000000000000,183
41,1139343,1577157,86100000000000000000,197
42,1166766,1615817,90300000000000000000,211
43,1194189,1654477,94600000000000000000,226
44,1221612,1693137,99000000000000000000,241
45,1249035,1731797,103500000000000000000,257
46,1276458,1770457,108100000000000000000,274
47,1303881,1809117,112800000000000000000,291
48,1331304,1847777,117600000000000000000,309
49,1358727,1886437,122500000000000000000,327
50,1386150,1925097,127500000000000000000,346
51,1413573,1963757,132600000000000000000,366
52,1440996,2002417,137800000000000000000,386
53,1468419,2041077,143100000000000000000,407
54,1495842,2079737,148500000000000000000,429
55,1523265,2118397,154000000000000000000,451
56,1550688,2157057,159600000000000000000,474
57,1578111,2195717,165300000000000000000,498
58,1605534,2234377,171100000000000000000,522
59,1632957,2273037,177000000000000000000,547
60,1660380,2311697,183000000000000000000,573
61,1687803,2350357,189100000000000000000,599
62,1715226,2389017,195300000000000000000,626
63,1742649,2427677,201600000000000000000,654
64,1770072,2466337,208000000000000000000,682
65,1797495,2504997,214500000000000000000,711
66,1824918,2543657,221100000000000000000,741
67,1852341,2582317,227800000000000000000,771
68,1879764,2620977,234600000000000000000,802
69,1907187,2659637,241500000000000000000,834
70,1934610,2698297,248500000000000000000,866
71,1962033,2736957,255600000000000000000,899
72,1989456,2775617,262800000000000000000,933
73,2016879,2814277,270100000000000000000,967
74,2044302,2852937,277500000000000000000,1002
75,2071725,2891597,285000000000000000000,1038
76,2099148,2930257,292600000000000000000,1074
77,2126571,2968917,300300000000000000000,1111
78,2153994,3007577,308100000000000000000,1149
79,2181417,3046237,316000000000000000000,1187
80,2208840,3084897,324000000000000000000,1226
81,2236263,3123557,332100000000000000000,1266
82,2263686,3162217,340300000000000000000,1306
83,2291109,3200877,348600000000000000000,1347
84,2318532,3239537,357000000000000000000,1388
85,2345955,3278197,365500000000000000000,1430
86,2373378,3316857,374100000000000000000,1473
87,2400801,3355517,382800000000000000000,1516
88,2428224,3394177,391600000000000000000,1560
89,2455647,3432837,400500000000000000000,1604
90,2483070,3471497,409500000000000000000,1649
91,2510493,3510157,418600000000000000000,1695
92,2537916,3548817,427800000000000000000,1741
93,2565339,3587477,437100000000000000000,1788
94,2592762,3626137,446500000000000000000,1835
95,2620185,3664797,456000000000000000000,1883
96,2647608,3703457,465600000000000000000,1931
97,2675031,3742117,475300000000000000000,1980
98,2702454,3780777,485100000000000000000,2029
99,2729877,3819437,495000000000000000000,2079
100,2757300,3850434,505000000000000000000,2079
